num_neurons,scores
2,0.5670731707317074
3,0.6431090214516603
4,0.7914340287981193
5,0.8398471936526594
6,0.8337863649720835
7,0.8581398765794886
8,0.8520790478989128
9,0.8218851013811342
10,0.8821995298266235
11,0.8309212459594475
12,0.8337863649720835
13,0.8428959741404642
14,0.8822362621216573
15,0.8702248016456068
16,0.8852483103144284
17,0.8851013811342933
18,0.8882970908022333
19,0.8943579194828093
20,0.9094181604466647
21,0.9032838671760212
22,0.8941742580076403
23,0.9032838671760212
24,0.9213561563326477
25,0.9032104025859535
26,0.9032471348809873
27,0.9305392300910961
28,0.9213928886276814
29,0.9123567440493682
30,0.885138113429327
31,0.9032104025859535
32,0.9064061122538937
33,0.9093814281516309
34,0.915405524537173
35,0.897259770790479
36,0.9033205994710549
37,0.8941742580076403
38,0.8943211871877754
39,0.9123567440493682
40,0.8851748457243609
41,0.9062959153687923
42,0.9153320599471054
43,0.8851748457243608
44,0.912393476344402
45,0.8881501616220981
46,0.8820158683514545
47,0.9062959153687922
48,0.8881501616220981
49,0.8851013811342933
50,0.8761019688510138
51,0.866992359682633
52,0.8972597707904789
53,0.8759550396708786
54,0.8849177196591242
55,0.8669556273875991
56,0.8851013811342933
57,0.8607846018219218
58,0.8699309432853365
59,0.8729429914781075
60,0.8274684102262709
61,0.857735821334117
62,0.8576990890390831
63,0.8729062591830737
64,0.8514178665883044
65,0.8486629444607698
66,0.809285924184543
67,0.8576256244490156
68,0.8334557743167793
69,0.8031148986188658
70,0.8274684102262709
71,0.8153834851601528
72,0.8276888039964737
73,0.7911034381428151
74,0.830480458419042
75,0.8547972377314135
76,0.8486262121657361
77,0.8030781663238319
78,0.8033720246841022
79,0.8001395827211284
80,0.8214443138407287
81,0.7758595357037907
82,0.7821407581545695
83,0.7912136350279165
84,0.7972377314134587
85,0.7577872465471642
86,0.8091757272994418
87,0.8121143109021451
88,0.8092124595944754
89,0.8122612400822804
90,0.7910299735527475
91,0.7818468997942991
92,0.7636644137525712
93,0.8092859241845431
94,0.7576770496620628
95,0.7548486629444608
96,0.7544078754040553
97,0.7667499265354099
98,0.806273875991772
99,0.7817367029091977
100,0.7392741698501322
